id,ok,fps,stride,step_err,width,height,frames,duration_s,codec,gps,gps_samples,min_accel,mean_speed,calm,error
training_1052,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.2199999999999998,6.678999999999999,True,
training_1056,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,5,-1.950000000000001,9.102,True,
training_1058,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-5.760000000000001,5.542999999999999,False,
training_1059,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-5.1000000000000005,12.206,False,
training_106,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.5100000000000002,4.122,True,
training_1064,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-0.8200000000000003,4.973000000000001,True,
training_1065,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-0.96,4.423,True,
training_1066,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-1.9700000000000002,5.446,True,
training_1067,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.44,1.564,False,
training_1068,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.0999999999999996,6.008999999999999,True,
training_1069,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.1399999999999997,2.7399999999999998,False,
training_107,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-3.34,3.742,False,
training_1071,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-6.779999999999999,8.663999999999998,False,
training_1075,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.61,6.208,False,
training_1076,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-4.539999999999999,5.9670000000000005,False,
training_1077,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-3.15,4.569000000000001,False,
training_1079,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-2.51,6.94,True,
training_1080,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,3,,,False,
training_1081,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.9000000000000004,5.862,False,
training_1082,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,too_short,1,,,False,
training_1084,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,too_short,1,,,False,
training_109,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.63,9.105,True,
training_1090,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,3,,,False,
training_1091,True,30.0,8,0.0,1280,720,360,12.0,h264,ok,12,-2.71,7.4425,True,
training_1092,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.3200000000000003,5.504,True,
training_1093,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.7699999999999996,4.843999999999999,True,
training_1094,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.43,6.614999999999999,False,
training_1095,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.0500000000000003,4.391,True,
training_1096,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.7700000000000005,5.593,True,
training_1099,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.15,6.008000000000001,False,
training_11,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-2.9000000000000004,2.964,True,
training_1100,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.84,7.3100000000000005,True,
training_1102,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,4,,,False,
training_1104,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,too_short,1,,,False,
training_1105,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.4400000000000004,5.551000000000001,True,
training_1106,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-1.1800000000000002,4.154,True,
training_1108,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.440000000000001,5.4719999999999995,False,
training_111,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-3.2300000000000004,9.18,False,
training_1111,True,29.92,8,0.002673796791443639,1280,720,389,13.001336898395722,h264,ok,13,-4.73,12.497692307692308,False,
training_1115,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.4400000000000004,2.425,False,
training_1116,True,60.0,16,0.0,1280,720,600,10.0,h264,no_1hz_pairs,3,,,False,
training_1117,True,29.97,8,0.0010010010010010895,1280,720,600,20.02002002002002,h264,ok,20,-3.25,3.8690000000000007,False,
training_1119,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.84,3.102,True,
training_1121,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-2.1800000000000006,5.186999999999999,True,
training_1124,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.50701435647881,4.686,False,
training_1126,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.6899999999999995,6.438,True,
training_1127,True,59.94,16,0.0010010010010010895,1280,720,1379,23.00633967300634,h264,ok,23,-6.79,10.757391304347827,False,
training_1128,True,30.0,8,0.0,1280,720,300,10.0,h264,no_1hz_pairs,2,,,False,
training_1129,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.0300000000000002,6.267,True,
training_113,True,29.97,8,0.0010010010010010895,1280,720,450,15.015015015015015,h264,ok,15,-2.76,7.141333333333334,True,
training_1130,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.4999999999999996,4.872,True,
training_1131,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-2.17,4.2170000000000005,True,
training_1134,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.02,5.297,False,
training_1135,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.9000000000000004,7.4590000000000005,False,
training_1136,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-4.58,6.706,False,
training_114,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.61,7.706,True,
training_1142,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-1.8300000000000005,3.7909999999999995,True,
training_1145,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.2300000000000004,4.883000000000001,True,
training_1149,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.2300000000000004,5.084999999999999,False,
training_1153,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.38,7.781000000000001,False,
training_1154,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,6,-0.9199999999999999,11.465000000000002,True,
training_1155,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.5500000000000003,5.319999999999999,True,
training_1156,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-0.8200000000000003,4.8020000000000005,True,
training_1157,True,29.97,8,0.0010010010010010895,1280,720,570,19.01901901901902,h264,ok,19,-1.23,4.40421052631579,True,
training_1158,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.16,6.189,False,
training_1159,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.8600000000000003,5.7509999999999994,True,
training_1160,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.162162005293417,4.293,True,
training_1161,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.71,5.547,True,
training_1162,True,29.97,8,0.0010010010010010895,1280,720,360,12.012012012012011,h264,ok,12,-3.1100000000000003,7.6450000000000005,False,
training_1163,True,29.97,8,0.0010010010010010895,1280,720,420,14.014014014014014,h264,ok,14,-5.09,10.365,False,
training_1168,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.17,2.2060000000000004,True,
training_117,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.67,7.779000000000001,True,
training_1171,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.91,6.746,False,
training_1173,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.66,5.656000000000001,True,
training_1175,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.68,3.3019999999999996,True,
training_1176,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.64,8.711,True,
training_1178,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,11,-3.11,4.142727272727273,False,
training_118,True,30.0,8,0.0,1280,720,300,10.0,h264,no_1hz_pairs,4,,,False,
training_1182,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.95,3.3049999999999997,False,
training_1184,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-0.5200000000000005,4.665000000000001,True,
training_1185,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.5099999999999998,5.409999999999999,True,
training_1186,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,3,,,False,
training_1188,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.9800000000000004,7.184,True,
training_1189,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.9100000000000006,5.963,True,
training_1193,True,29.97,8,0.0010010010010010895,1280,720,420,14.014014014014014,h264,ok,14,-5.319999999999999,10.72857142857143,False,
training_1197,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.3056380881139484,5.199,True,
training_1199,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.11,5.179,True,
training_12,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-2.5100000000000002,4.586,True,
training_120,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-1.2000000000000002,4.040000000000001,True,
training_1200,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-2.6099999999999994,5.543000000000001,True,
training_1202,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.0100000000000002,3.931,True,
training_1209,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-1.8600000000000003,5.566,True,
training_1212,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.6300000000000008,6.055000000000001,True,
training_1214,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.3400000000000003,6.559,True,
training_1217,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-3.88,4.697000000000001,False,
training_1218,True,29.97,8,0.0010010010010010895,1280,720,360,12.012012012012011,h264,ok,13,-5.880000000000001,9.152307692307694,False,
training_1219,True,29.97,8,0.0010010010010010895,1280,720,420,14.014014014014014,h264,ok,14,-5.1,7.046428571428571,False,
training_122,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.44,4.159,True,
training_1220,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.37,4.914999999999999,True,
training_1221,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.9899999999999998,4.258,True,
training_1224,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.3854165321423,5.427,False,
training_1225,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-1.6399999999999997,5.7429999999999986,True,
training_1227,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.15,4.742,False,
training_1228,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-8.246627282432733,9.348,False,
training_1230,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,4,0.6900000000000013,8.1975,True,
training_1233,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-1.96,5.263,True,
training_1234,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.52,4.883,False,
training_1235,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,no_1hz_pairs,2,,,False,
training_1236,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.02,5.194000000000001,False,
training_1237,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.4800000000000004,5.587000000000001,True,
training_1238,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.590000000000001,8.187000000000001,False,
training_124,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.13,1.5470000000000002,False,
training_1243,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,3,,,False,
training_1244,True,29.97,8,0.0010010010010010895,1280,720,570,19.01901901901902,h264,ok,19,-4.290000000000001,7.035263157894738,False,
training_1245,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.639999999999999,9.782,False,
training_1246,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.6,4.889000000000001,True,
training_1247,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-3.3499999999999996,8.234,False,
training_125,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-2.46,3.008,True,
training_1252,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-1.13,5.504,True,
training_1253,True,30.0,8,0.0,1280,720,540,18.0,h264,ok,18,-5.91,3.215,False,
training_1255,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-2.4699999999999998,5.115,True,
training_1256,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.7200000000000002,4.31,True,
training_1258,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-1.0300000000000002,4.828,True,
training_1259,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.01,4.776999999999999,True,
training_126,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.1099999999999994,5.836,False,
training_1260,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.63,5.754,True,
training_1263,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.16,4.443,False,
training_1264,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.75,10.300999999999998,True,
training_1268,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-0.4900000000000002,4.328,True,
training_127,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,5,-1.120000000000001,7.426,True,
training_1270,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-0.6299999999999999,4.618,True,
training_1271,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.4400000000000004,2.222,False,
training_1272,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.5899999999999999,5.263000000000001,True,
training_1273,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-2.85,8.424,True,
training_1277,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.05,4.718,False,
training_1279,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-5.59,8.964,False,
training_1281,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.4,5.358,True,
training_1284,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.87,6.056000000000001,True,
training_1285,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.87,4.01,True,
training_1287,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-5.9399999999999995,5.639,False,
training_1289,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.84,5.298,True,
training_129,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.85,3.7920000000000003,False,
training_1291,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.62,5.479000000000001,True,
training_1293,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.6700000000000002,4.2620000000000005,True,
training_1295,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.1399999999999997,5.129,True,
training_1297,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.74,10.053999999999998,True,
training_1298,True,60.0,16,0.0,1280,720,600,10.0,h264,ok,10,-2.16,5.851,True,
training_1299,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.25,4.846,False,
training_13,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.1499999999999995,3.839999999999999,True,
training_1302,True,29.97,8,0.0010010010010010895,1280,720,540,18.01801801801802,h264,ok,18,-4.1,4.239999999999999,False,
training_1304,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,2,,,False,
training_1305,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.62,3.1430000000000002,True,
training_1306,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.92,5.072,True,
training_1308,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.4,5.156,True,
training_1309,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.83,8.17,True,
training_131,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.29,9.135000000000002,False,
training_1310,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,5,-0.17999999999999972,7.008000000000001,True,
training_1311,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-1.1799999999999997,5.561000000000001,True,
training_1313,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.6199999999999997,5.449,True,
training_1314,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.9800000000000004,6.447,False,
training_1316,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.1300000000000008,4.509,True,
training_1319,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-1.94,5.531999999999999,True,
training_1320,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.1499999999999995,5.5550000000000015,False,
training_1323,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-3.1399999999999997,7.588000000000001,False,
training_1326,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,no_1hz_pairs,3,,,False,
training_1327,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-2.6000000000000005,9.169,True,
training_1329,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-1.4900000000000002,4.516,True,
training_1330,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.09,4.661999999999999,True,
training_1333,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,5,0.05999999999999961,4.9479999999999995,True,
training_1337,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,4,-0.25,8.595,True,
training_134,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.54,6.798,True,
training_1341,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-2.7900000000000005,3.867,True,
training_1342,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.9859715101784174,5.864999999999999,True,
training_1343,True,29.97,8,0.0010010010010010895,1280,720,450,15.015015015015015,h264,ok,15,-3.5199999999999996,5.598,False,
training_1344,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,3,,,False,
training_1346,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-1.2700000000000005,5.9959999999999996,True,
training_1347,True,29.97,8,0.0010010010010010895,1280,720,420,14.014014014014014,h264,ok,14,-4.789999999999999,8.24,False,
training_1348,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,4,,,False,
training_1351,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-7.640000000000001,6.435,False,
training_1352,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.17,4.214999999999999,True,
training_1353,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.2999999999999998,4.969,True,
training_1354,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.9800000000000004,6.669999999999999,True,
training_1356,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-4.33,6.858,False,
training_1357,True,29.97,8,0.0010010010010010895,1280,720,510,17.017017017017018,h264,ok,17,-5.180000000000001,7.1364705882352935,False,
training_1359,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,5,-1.732817050552124,8.196000000000002,True,
training_136,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.0999999999999996,5.062,True,
training_1360,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-1.4499999999999997,5.366000000000001,True,
training_1361,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.4,5.228,True,
training_1366,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-2.130000000000001,7.027000000000001,True,
training_137,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.2500000000000004,6.125,True,
training_1371,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,2,,,False,
training_1375,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,2,,,False,
training_1379,True,29.97,8,0.0010010010010010895,1280,720,390,13.013013013013014,h264,ok,13,-2.3200000000000003,6.876153846153845,True,
training_1381,True,59.94,16,0.0010010010010010895,1280,720,780,13.013013013013014,h264,ok,13,-2.4299999999999997,6.700000000000001,True,
training_1383,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,ok,10,-0.33000000000000007,3.992,True,
training_1385,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-1.7699999999999996,5.9559999999999995,True,
training_1387,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,no_1hz_pairs,3,,,False,
training_1388,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-2.63,6.116,True,
training_139,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,11,-2.5997044032422103,4.653636363636364,True,
training_1391,True,29.97,8,0.0010010010010010895,1280,720,300,10.01001001001001,h264,ok,10,-5.7700000000000005,5.39,False,
training_1392,True,59.94,16,0.0010010010010010895,1280,720,600,10.01001001001001,h264,no_1hz_pairs,3,,,False,
training_1393,True,30.0,8,0.0,1280,720,300,10.0,h264,ok,10,-1.9299999999999997,6.331999999999999,True,
